naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Kopanica;Kopanica;52??18'36'';21??25'25'';496543.94;665168.49;Polska;mazowieckie;wo?Èomi?‰ski;Po?çwi?÷tne-gmina wiejska
Kopaniec;;52??34'08'';21??07'34'';524689.48;644049.40;Polska;mazowieckie;pu?Ètuski;Zatory-gmina wiejska
Kopaniny;;51??19'49'';21??32'17'';387905.02;676761.27;Polska;mazowieckie;zwole?‰ski;Zwole?‰-obszar wiejski
Kopaniny;Kopaniny;51??06'40'';21??33'13'';363582.05;678691.43;Polska;mazowieckie;lipski;Lipsko-obszar wiejski
Kopaniny;Kopaniny;51??17'32'';20??55'25'';382373.25;634083.66;Polska;mazowieckie;szyd?Èowiecki;Oro?‰sko-gmina wiejska
Kopaniny;Kopaniny;51??05'11'';21??46'10'';361388.19;693886.27;Polska;mazowieckie;lipski;Solec nad Wis?È?˘-gmina wiejska
Kopce;Kopce;52??07'10'';22??45'37'';479263.23;757335.19;Polska;mazowieckie;?Èosicki;Huszlew-gmina wiejska
Kopcie;;52??13'57'';22??15'44'';490175.22;722694.38;Polska;mazowieckie;siedlecki;Sucho??ebry-gmina wiejska
Kopcie;;52??02'38'';22??08'38'';468853.67;715527.56;Polska;mazowieckie;siedlecki;Domanice-gmina wiejska
Kopcie;;52??15'06'';22??01'20'';491594.88;706225.89;Polska;mazowieckie;w?÷growski;Gr?÷bk??w-gmina wiejska
Kopciucha;;51??22'49'';21??34'40'';393559.12;679331.87;Polska;mazowieckie;zwole?‰ski;Zwole?‰-miasto
Osiedle Miko?Èaja Kopernika;Miko?Èaja Kopernika;52??06'31'';20??38'14'';472664.67;612080.22;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-miasto
Kopiec;;51??17'19'';21??24'01'';382947.63;667323.75;Polska;mazowieckie;zwole?‰ski;Kazan??w-gmina wiejska
Nowy Kopiec;;51??17'22'';21??23'23'';383019.16;666579.89;Polska;mazowieckie;zwole?‰ski;Kazan??w-gmina wiejska
Kopiska;Kopiska;52??06'40'';20??30'30'';472743.44;603253.22;Polska;mazowieckie;grodziski;Baran??w-gmina wiejska
Kopiska Du??e;Kopiska Du??e;52??06'31'';20??30'43'';472472.69;603510.84;Polska;mazowieckie;grodziski;Baran??w-gmina wiejska
